-- DTU dataset for estimating relative camera pose (Training data)
-- ImageFileId1, ImageFileId2, CategoryId, RelativeTranslation [x, y, z], RelativeOrientation [q1,q2,q3,q4]
--
28 48 52 0.979145 0.196002 -0.037443 -0.038166 -0.117034 -0.245155 -0.962394
6 19 68 0.992512 0.106083 0.045402 0.040061 -0.800214 -0.188147 -0.569436
16 24 29 0.994974 0.096914 -0.013065 -0.021534 -0.497280 -0.265974 -0.825815
38 43 37 0.942854 0.109550 0.307378 0.067407 -0.107292 -0.991681 -0.071114
38 44 76 0.906084 0.109999 0.398152 0.091583 0.081155 -0.992915 -0.086800
33 48 21 0.952217 0.107306 0.279452 0.060617 0.623538 -0.601760 -0.499084
16 17 46 0.990226 -0.013752 -0.101728 -0.094418 0.161855 0.901384 -0.401635
34 42 11 0.973791 0.088309 -0.199653 -0.063805 0.208818 0.756017 -0.620350
8 15 55 0.957372 0.123231 0.177939 0.191284 0.272198 -0.938726 -0.211428
17 40 13 0.926199 0.267575 -0.223185 -0.144044 0.408969 0.689577 -0.597685
9 15 22 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
8 40 2 0.892395 0.354453 -0.214837 -0.178439 0.295105 0.759973 -0.579097
21 43 23 0.939330 0.207104 0.263573 0.072775 -0.347582 -0.812443 -0.468105
7 8 30 0.984402 0.020278 0.101324 0.142391 0.075475 -0.945670 0.316246
15 25 49 0.994459 0.095136 -0.029133 -0.033938 -0.500254 -0.248438 -0.829473
14 44 18 0.922527 0.267675 -0.234759 -0.148937 -0.000344 0.547742 -0.836647
14 15 11 0.990315 -0.012703 -0.100900 -0.094523 -0.380277 0.788514 -0.483358
19 24 44 0.915016 0.125954 0.309583 0.225920 0.155442 -0.980480 -0.120403
20 35 68 0.914990 0.118518 0.351216 0.159353 -0.016134 -0.999388 -0.031028
36 43 13 0.988825 0.104850 0.104974 0.014573 -0.158098 -0.849632 -0.503120
22 23 54 0.992990 0.009656 0.100177 0.061993 0.060813 -0.936216 0.346124
6 7 41 0.984620 0.020227 0.100607 0.141396 -0.276480 -0.913317 0.299016
7 17 45 0.979980 0.115947 0.112062 0.116784 -0.431338 -0.863247 -0.262205
5 39 37 0.877817 0.473018 -0.019300 -0.072933 -0.319193 0.810990 -0.490317
15 42 62 0.905265 0.257240 -0.289350 -0.174929 0.302418 0.709192 -0.636859
2 15 49 0.967461 0.175756 -0.095153 -0.155163 -0.677080 0.001478 -0.735908
3 4 9 0.967014 -0.031070 -0.103499 -0.230665 0.546164 0.756498 -0.359743
32 48 41 0.977582 0.105771 0.178800 0.034300 0.615668 -0.601223 -0.509396
42 43 72 0.994791 0.003590 0.100692 0.015444 0.116716 -0.927465 0.355226
10 25 32 0.973810 0.183924 -0.085438 -0.102798 -0.527893 0.024847 -0.848947
9 15 73 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
27 46 69 0.972442 0.190591 -0.116316 -0.067101 -0.243387 0.142246 -0.959442
3 16 39 0.979240 0.191372 -0.027642 -0.060845 -0.711023 -0.145199 -0.688014
45 48 69 0.954111 0.008374 0.295811 0.045801 0.836125 -0.523328 -0.164389
11 13 2 0.994771 0.101110 0.013774 0.004094 -0.058412 -0.869706 -0.490101
10 34 73 0.936740 0.270699 -0.158414 -0.155386 -0.275640 0.393127 -0.877196
